Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,28.950001,29.082500,28.690001,29.037500,27.548414,115127600
2017-01-04,28.962500,29.127501,28.937500,29.004999,27.517582,84472400
2017-01-05,28.980000,29.215000,28.952499,29.152500,27.657520,88774400
2017-01-06,29.195000,29.540001,29.117500,29.477501,27.965857,127007600
2017-01-09,29.487499,29.857500,29.485001,29.747499,28.222006,134247600
2017-01-10,29.692499,29.844999,29.575001,29.777500,28.250471,97848400
2017-01-11,29.684999,29.982500,29.650000,29.937500,28.402262,110354400
2017-01-12,29.725000,29.825001,29.552500,29.812500,28.283670,108344800
2017-01-13,29.777500,29.905001,29.702499,29.760000,28.233862,104447600
2017-01-17,29.584999,30.059999,29.555000,30.000000,28.461563,137759200
2017-01-18,30.000000,30.125000,29.927500,29.997499,28.459183,94852000
2017-01-19,29.850000,30.022499,29.842501,29.945000,28.409378,102389200
2017-01-20,30.112499,30.112499,29.932501,30.000000,28.461563,130391600
2017-01-23,30.000000,30.202499,29.942499,30.020000,28.480532,88200800
2017-01-24,29.887501,30.025000,29.875000,29.992500,28.454441,92844000
2017-01-25,30.105000,30.525000,30.070000,30.469999,28.907455,129510400
2017-01-26,30.417500,30.610001,30.400000,30.485001,28.921686,105350400
2017-01-27,30.535000,30.587500,30.400000,30.487499,28.924057,82251600
2017-01-30,30.232500,30.407499,30.165001,30.407499,28.848156,121510000
